doc_id_1,doc_id_2,shared_bands,jaccard,decision
88791,29890,9,0.7955,below_threshold
88791,30108,1,0.3333,below_threshold
29890,30108,1,0.3694,below_threshold
56732,93599,1,0.3333,below_threshold
56732,88645,2,0.5000,below_threshold
56732,79360,1,0.4857,below_threshold
93599,88645,1,0.2381,below_threshold
93599,79360,5,0.6129,below_threshold
88645,79360,1,0.3000,below_threshold
97140,13899,13,0.9412,duplicate
50366,50401,5,0.7556,below_threshold
50366,50425,1,0.4746,below_threshold
50401,50425,1,0.5088,below_threshold
95560,70542,10,0.7826,below_threshold
34937,96330,5,0.7273,below_threshold
45300,95646,5,0.7755,below_threshold
99199,18387,14,0.9636,duplicate
88972,60445,12,0.8462,duplicate
91015,55100,5,0.7273,below_threshold
44535,44536,9,0.8810,duplicate
98556,64703,11,0.9200,duplicate
97451,39920,8,0.7963,below_threshold
97451,39629,11,0.9216,duplicate
39920,39629,12,0.8654,duplicate
17631,17657,1,0.5179,below_threshold
14509,93855,5,0.7500,below_threshold
81883,99178,14,0.9677,duplicate
96907,69635,2,0.5714,below_threshold
35305,35298,1,0.4545,below_threshold
33325,95125,4,0.6000,below_threshold
94983,7338,5,0.8235,duplicate
90643,12414,11,0.9259,duplicate
47785,98888,8,0.8511,duplicate
31843,31818,3,0.6735,below_threshold
98584,6296,16,0.9730,duplicate
98584,92717,6,0.7805,below_threshold
6296,92717,6,0.8000,duplicate
54543,54797,5,0.8056,duplicate
39934,91686,11,0.8261,duplicate
61857,95748,6,0.8431,duplicate
32078,86662,6,0.6458,below_threshold
32078,93259,2,0.6923,below_threshold
86662,93259,2,0.4630,below_threshold
94967,88593,11,0.8667,duplicate
20092,91913,3,0.6923,below_threshold
53489,99298,16,0.9655,duplicate
14043,98778,11,0.9231,duplicate
37276,37283,1,0.4250,below_threshold
92722,12808,5,0.7333,below_threshold
36760,36938,6,0.7556,below_threshold
15694,15697,6,0.7812,below_threshold
32084,32130,3,0.5000,below_threshold
34623,99549,15,0.9375,duplicate
94941,66842,10,0.8750,duplicate
38914,38472,14,0.9118,duplicate
50237,98318,9,0.8824,duplicate
98099,16629,10,0.8857,duplicate
96415,58456,8,0.7391,below_threshold
17944,17963,9,0.8636,duplicate
17944,17664,9,0.8372,duplicate
17963,17664,13,0.8372,duplicate
1492,1800,4,0.6596,below_threshold
40953,40555,7,0.8219,duplicate
64498,99732,13,0.9375,duplicate
53333,53870,6,0.8182,duplicate
49706,92279,6,0.7600,below_threshold
40896,40073,10,0.8824,duplicate
14252,14202,6,0.7568,below_threshold
86331,99662,11,0.9355,duplicate
90208,52059,12,0.9487,duplicate
43633,43016,3,0.6379,below_threshold
17523,94577,1,0.6250,below_threshold
44540,44227,6,0.7812,below_threshold
54406,89508,14,0.9535,duplicate
63137,90904,9,0.8636,duplicate
59228,58981,4,0.7742,below_threshold
