doc_id,row_idx
30857,0
98710,1
64942,2
98069,3
58547,4
42797,5
23468,6
30210,7
59258,8
1100,9
86724,10
88403,11
88180,12
62552,13
4769,14
78325,15
23709,16
44756,17
13662,18
8600,19
30157,20
25277,21
65691,22
87005,23
75749,24
97427,25
65032,26
42637,27
96768,28
74142,29
82523,30
93780,31
74664,32
71522,33
31363,34
87676,35
41128,36
7437,37
38731,38
33505,39
17877,40
29439,41
5138,42
24054,43
82905,44
24006,45
69511,46
66513,47
2189,48
25700,49
79420,50
7285,51
19640,52
36763,53
67199,54
38862,55
43865,56
65617,57
28897,58
73953,59
22234,60
39499,61
27351,62
31511,63
72316,64
3249,65
5842,66
95264,67
61466,68
61396,69
44392,70
48545,71
8483,72
9917,73
54570,74
71638,75
79790,76
26206,77
87773,78
12956,79
56119,80
35027,81
29006,82
20859,83
19417,84
40773,85
21212,86
47862,87
38785,88
95775,89
63364,90
77401,91
97988,92
20260,93
65841,94
76531,95
20087,96
32223,97
16890,98
86194,99
80748,100
43376,101
62217,102
76052,103
97561,104
36198,105
93053,106
75983,107
70044,108
19228,109
47675,110
8376,111
83397,112
97071,113
43605,114
64027,115
67991,116
88471,117
31610,118
82443,119
27733,120
89390,121
22166,122
14952,123
91991,124
9146,125
61964,126
13652,127
75591,128
12407,129
81040,130
2501,131
14231,132
56364,133
30319,134
55785,135
81193,136
82241,137
34252,138
12430,139
36853,140
87686,141
49855,142
15692,143
13903,144
58050,145
13133,146
77677,147
92833,148
62639,149
72808,150
20754,151
28220,152
1859,153
96737,154
30160,155
59690,156
64253,157
89882,158
7625,159
28676,160
98098,161
25664,162
62079,163
51919,164
2505,165
80133,166
35651,167
54405,168
12445,169
62714,170
86500,171
60801,172
72374,173
52617,174
59171,175
32908,176
39640,177
51182,178
12072,179
6865,180
10247,181
29710,182
88981,183
40868,184
71090,185
24554,186
140,187
93729,188
76182,189
21473,190
47058,191
66818,192
29019,193
81658,194
87972,195
67822,196
35554,197
96684,198
93057,199
44723,200
35575,201
30562,202
23342,203
8722,204
26023,205
12790,206
43982,207
11664,208
11930,209
10045,210
51001,211
22592,212
38984,213
29163,214
77673,215
71197,216
76242,217
85670,218
57732,219
18993,220
2072,221
12170,222
39990,223
4070,224
3157,225
14543,226
23413,227
55347,228
468,229
53766,230
34189,231
33580,232
67870,233
33708,234
15107,235
66120,236
85211,237
85741,238
76904,239
18215,240
93316,241
14930,242
12297,243
90340,244
26418,245
23459,246
14418,247
19662,248
51180,249
36022,250
37103,251
85915,252
91266,253
63342,254
68166,255
42153,256
91329,257
50432,258
19592,259
1458,260
30878,261
98227,262
23911,263
94681,264
16630,265
88585,266
78341,267
59300,268
50158,269
27439,270
93507,271
63962,272
82199,273
64804,274
82421,275
42256,276
61748,277
5118,278
90016,279
89387,280
52595,281
23442,282
77456,283
72942,284
43963,285
16363,286
64109,287
74522,288
90595,289
40181,290
33698,291
33489,292
50147,293
24559,294
2780,295
77473,296
73979,297
70669,298
41963,299
70242,300
61062,301
73179,302
57498,303
62143,304
55433,305
9956,306
16037,307
98582,308
8164,309
1794,310
52535,311
49117,312
62258,313
